Ticker,Trend,Score,Top Correlations,Reason
OPEN,🟩 Up,+13.37%,—,single-snapshot trend; correlation unavailable
ALGS,🟥 Down,-12.88%,—,single-snapshot trend; correlation unavailable
INTC,🟩 Up,+10.80%,—,single-snapshot trend; correlation unavailable
LRCX,🟩 Up,+8.66%,—,single-snapshot trend; correlation unavailable
AG,🟩 Up,+5.64%,—,single-snapshot trend; correlation unavailable
MU,🟩 Up,+5.53%,—,single-snapshot trend; correlation unavailable
ORCL,🟩 Up,+4.68%,—,single-snapshot trend; correlation unavailable
SLV,🟩 Up,+3.83%,—,single-snapshot trend; correlation unavailable
AVGO,🟩 Up,+3.76%,—,single-snapshot trend; correlation unavailable
INSM,🟩 Up,+3.35%,—,single-snapshot trend; correlation unavailable
